company_name,display_name,year,round,google_drive_link
Bubble,Bubble - 2021 - Series A,2021,Series A,https://drive.google.com/file/d/1V0rBzOYX4Ufua6IV-AurJPutVrD9pHcv/view
Buffer,Buffer - 2011 - Seed,2011,Seed,https://drive.google.com/file/d/1RpzKlaxQf5PmeJTX-ul7fkaoDVn0rarv/view
Buildcon,Buildcon - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/1x7L7idCTmta4QU9mZ_RuGKN5aEy1O_2h/view
Burner,Burner - 2013 - Series A,2013,Series A,https://drive.google.com/file/d/1RjFyWn201XCK5HXLVwS8W4xYnKsHo23l/view
Butlr,Butlr - 2020 - Seed,2020,Seed,https://drive.google.com/file/d/1BWe5KOKuMWmjpsiDty8heCHP7ptgHP6B/view
Button City 2018,Button City 2018 - 2018,2018,,https://drive.google.com/file/d/1XqBYIEftlT--a9BB9ML-NTsgjihAanKv/view
Button City 2020,Button City 2020 - 2020,2020,,https://drive.google.com/file/d/10lM6DsTGZMc_6iVK0TGzxSwxmMOhJlZW/view
Buzzfeed,Buzzfeed - 2008 - Series A,2008,Series A,https://drive.google.com/file/d/1nCGEk-vb0AV6Ai-Nq0VFMU1QETau5Hf7/view
Bytez,Bytez - 2019 - Pre-Seed,2019,Pre-Seed,https://drive.google.com/file/d/1wQ97wuf2HrsvvEzbpVLJ4TrxaOsxBjM5/view
Cadence,Cadence - 2020 - Seed,2020,Seed,https://drive.google.com/file/d/1lrJMBKeGL4lAa5qa8hfYbcxbeHZ_xw-L/view
Calaxy,Calaxy - 2022,2022,,https://drive.google.com/file/d/19QoXZUs_4p79e4sES54FEyVhZn-ShXjg/view
Canary Technologies,Canary Technologies - 2022 - Series B,2022,Series B,https://drive.google.com/file/d/1ya1IA1IOy81kAoM3KDxHKZAeA0EtJfna/view
Canix,Canix - 2020 - Seed,2020,Seed,https://drive.google.com/file/d/1WU4VpTcwNbp7OCTvz2GsAOB4o3nYCoiz/view
Canndescent,Canndescent - 2016 - Series A,2016,Series A,https://drive.google.com/file/d/1gNOgbFN7bITsxMvO8jDy12ZT1DNUU3VR/view
Canva,Canva - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/1zBiGqACcEGV_5yAunxy5aKJmo076FrU-/view
Capacity,Capacity - Series B,,Series B,https://drive.google.com/file/d/17Mw4w_p1HBtx1HIViMRlwctDRoNDKgD2/view
Cardlife,Cardlife - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/1NlsMlXzAtWsh70oYRfZMWxRTsqqkPnAg/view
Careem,Careem - 2013 - Seed,2013,Seed,https://drive.google.com/file/d/1Ll0oMREDEwPfmPkKdbCWcZp-STcOU_n8/view
Careerist,Careerist - 2023 - Series A,2023,Series A,https://drive.google.com/file/d/1YbpKam7IWgFVpt_82szwxkbBy6KiHg0H/view
CareLuLu,CareLuLu - 2014 - Seed,2014,Seed,https://drive.google.com/file/d/1HUF4D1j6IU4Rm8Fo08cjksXyO9_poYpR/view
Carrum Health,Carrum Health - 2023 - Series B,2023,Series B,https://drive.google.com/file/d/1QoXWXm4L3zJUEbCq0d2-wQ_JcDNpG9NS/view
Carta,Carta - 2015 - Series A,2015,Series A,https://drive.google.com/file/d/1RB2l_rgeJPKlgkOMjiNKciTWz5eZWpo9/view
Castle,Castle - Pre-Seed,,Pre-Seed,https://drive.google.com/file/d/1m_2mZ4lxJWVPEsmO6ls7X_o6q4fEGd8o/view
Catnip,Catnip - 2014 - Seed,2014,Seed,https://drive.google.com/file/d/1UhcaU3LoJr6XIVL0F3x3Xg-nNYqgsNP1/view
Cedar,Cedar - 2020 - Series C,2020,Series C,https://drive.google.com/file/d/1P-muMh6HsYVD0S5fbdEfWgtGo5gl6fD3/view
Celer Network,Celer Network - 2019 - Seed,2019,Seed,https://drive.google.com/file/d/1Us1rYEtBvE3nnaRn1c6WC7qUJqlLvLwD/view
CellBreaker,CellBreaker - 2015,2015,,https://drive.google.com/file/d/1hvyVTiQeEzy6qgk1fAu8aBlVXSCtHnF9/view
CenOS,CenOS - 2020 - Pre-Seed,2020,Pre-Seed,https://drive.google.com/file/d/1fevXWjBWxJCTkxwkq4bMsw2WhufChfL0/view
ChangeJar,ChangeJar - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/1NbEdEdVsYERpGnWPYMujZ1ZtGQ4K_ega/view
Chartmetric,Chartmetric - 2021 - Seed,2021,Seed,https://drive.google.com/file/d/1gLaortOoR9qApLBL0H6_rj8MZfMJexir/view
Chatter Research,Chatter Research - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/1TkaUDwPVACoR2O9-TV-KHScYe3ZrwKIo/view
ChattingCat,ChattingCat,,,https://drive.google.com/file/d/1joWaIwCSHp1o44H1QcsEWe7sNJSF48Kn/view
CheddarUp,CheddarUp - 2017 - Series A,2017,Series A,https://drive.google.com/file/d/1077hdcIehAfbj4eOTdiwwbSpcgkCfBQF/view
Chefs for Seniors,Chefs for Seniors - 2016 - Seed,2016,Seed,https://drive.google.com/file/d/185uH1H-7J6tBjCGKIT1xDAVTL7V862XH/view
Chewse,Chewse - 2013 - Seed,2013,Seed,https://drive.google.com/file/d/1M6eulkqUTu256Co48sQn4TX09VMEXHNw/view
Chipper Cash,Chipper Cash - 2020 - Series B,2020,Series B,https://drive.google.com/file/d/1Tmng_abTTjbdE9M5-_o72NiquZkwGIPm/view
Cirrus Identity,Cirrus Identity - 2016 - Seed,2016,Seed,https://drive.google.com/file/d/1Nk1iY2BXzPR5l6A2QA5lNwndMADHwOGL/view
Claap,Claap - 2022 - Seed,2022,Seed,https://drive.google.com/file/d/1145rYhpb9VrMVb8k3ssCHd-7lC_Bs9MY/view
Cladwell,Cladwell - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/17VtORNmXPDosIQ6XPhJH-8odmK9s6bn6/view
Claim Compass,Claim Compass - 2019 - Seed,2019,Seed,https://drive.google.com/file/d/1Qk3WjMjufJt5oFPl5ETDVLcBf_GcjFx-/view
Clanbeat,Clanbeat - 2019 - Seed,2019,Seed,https://drive.google.com/file/d/1cpBrMlVHIIj-VJvkqYAB6e9J6jDtioDH/view
Clarity,Clarity - 2014,2014,,https://drive.google.com/file/d/1jbexeuq_rm2nH-kLeMKsQLi6E1zH5tUe/view
Clearbanc,Clearbanc - 2018 - Series A,2018,Series A,https://drive.google.com/file/d/1j2qBW81lCZLF3ICZ4CmwlN76jH_ERvzr/view
CloudAcademy,CloudAcademy - 2014 - Seed,2014,Seed,https://drive.google.com/file/d/1MZcXxWYZ487aTbhGilAqetV-ITgD-no8/view
CloudCoffer,CloudCoffer - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/1KPLECULRKlM-aV5sAm2zqSfyuT1eyq37/view
Cloudera,Cloudera - 2008 - Series A,2008,Series A,https://drive.google.com/file/d/1hTDmz8m4XOX19jTpxTN_R6ViQI5s68_e/view
Cloudian,Cloudian - 2018,2018,,https://drive.google.com/file/d/1DckDt6dGdzKcom99m0KFsaO4xIvP6g4e/view
Clowder,Clowder - 2020 - Seed,2020,Seed,https://drive.google.com/file/d/1-Wj27HFIho9w9lFBoVHZuK7jOAV9vPkW/view
CoachMarket,CoachMarket,,,https://drive.google.com/file/d/1HN5RZghB6-wzV7_1RTS0lnvuDD3X8agu/view
Codec,Codec - 2018 - Seed,2018,Seed,https://drive.google.com/file/d/1fNaO8MeAp1y90drV5FBDnWLBEBH8R8wP/view
Coinalytics,Coinalytics - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/188WhIxUzHNG36hL9adpduZahWSkkP_Gu/view
Coinbase,Coinbase - 2012 - Seed,2012,Seed,https://drive.google.com/file/d/1nPIpJWUTV3ITpCAhJMFXgvskSpRmlEZK/view
CoinPip,CoinPip - 2014 - Seed,2014,Seed,https://drive.google.com/file/d/1Vv3g6ednNx_9v22d0iO1_sKTcrGjlner/view
Concert With Me,Concert With Me - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/188nXzJVBwgsATMkNAlENtLqPvmlL38u7/view
Connected Analytics (ThankUCash),Connected Analytics (ThankUCash) - 2018 - Pre-Seed,2018,Pre-Seed,https://drive.google.com/file/d/1ITwPUhGILMWawJokeSVa4mgkxuxzL5m_/view
Connected2me,Connected2me - 2014 - Seed,2014,Seed,https://drive.google.com/file/d/1-qQlKWOHxxpip5VzoySLhzi1aVGSc7Ct/view
Contently,Contently - 2014 - Series B,2014,Series B,https://drive.google.com/file/d/1al75UPZq6gwomj4PM26tprNzBEe0qQbw/view
Contentools,Contentools - 2015,2015,,https://drive.google.com/file/d/1kG4i-0H5HFvyamja-et_Ef9BGMZKfhE-/view
Cooleaf,Cooleaf - 2016 - Seed,2016,Seed,https://drive.google.com/file/d/1YZKmEKHY4Xtjdtm08mBAilbu7-xkRFuR/view
Copper Cow Coffee,Copper Cow Coffee - 2018 - Seed,2018,Seed,https://drive.google.com/file/d/1gUhnxNZvgIDDZ3Qsh52giR2SnRawrSy0/view
Copy.AI,Copy.AI - 2021 - Series A,2021,Series A,https://drive.google.com/file/d/1rSOeVmNwlvbai6DP0F7Q4yXZimE4Up_q/view
Courtbuddy,Courtbuddy - 2018 - Series A,2018,Series A,https://drive.google.com/file/d/1pC4So_OJjJa9y6WaCVrq3jKoz4XCa2CL/view
Crash,Crash - 2019 - Seed,2019,Seed,https://drive.google.com/file/d/1gCfpcx-tzX1i63CjMMPOyYBdjfwP0xus/view
Credit Stacks,Credit Stacks - 2018 - Seed,2018,Seed,https://drive.google.com/file/d/1eO-vBjMaTouH0s6SKjeQITc2Ve3T1KTp/view
Crema,Crema - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/1aAmbUBXquSrygV86OEW7uIm6U1_gQuc3/view
Croissant,Croissant - 2016 - Seed,2016,Seed,https://drive.google.com/file/d/1gb-TauB_D90xUTHBIg_-t2Izdh1a70Ze/view
Croma.io,Croma.io - 2017 - Pre-Seed,2017,Pre-Seed,https://drive.google.com/file/d/18W9BSmDddxeQGkt8h66_kN17-_biSk-M/view
Crossbeam,Crossbeam - 2020 - Series A,2020,Series A,https://drive.google.com/file/d/1BpEEa9_dBxStEUYQ8xl1h0LVOUj588mj/view
Crowdbotics,Crowdbotics - 2022 - Series A,2022,Series A,https://drive.google.com/file/d/16M58rnlXWvhqD3yojAJhwbpz1gLMiE6o/view
CrowdPlat,CrowdPlat - 2018 - Seed,2018,Seed,https://drive.google.com/file/d/1AfsCZ--1gJftYCrWPmTEuPCIH2qvmS0j/view
Crowdz,Crowdz - 2020 - Series A,2020,Series A,https://drive.google.com/file/d/1cSOuPxz3g0RkLdk0bi9KiarOK43wnv69/view
Crunchbase,Crunchbase - 2019 - Series C,2019,Series C,https://drive.google.com/file/d/17Y_srnkYkg3vA7EIcVEJWYh3iYPa6CDy/view
Cryptomover,Cryptomover,,,https://drive.google.com/file/d/1BTwH6-MnTSsnfJUhaDMibZ1fJaElabmh/view
Curie,Curie - 2018,2018,,https://drive.google.com/file/d/1arjbngpyPl9sr0PIp2FB_CV33sVK49z3/view
Curio.io,Curio.io - 2020 - Series A,2020,Series A,https://drive.google.com/file/d/1mTAQPUCXgZAdVkq0_y_xKncnqV_YDufQ/view
Curious Hat,Curious Hat - 2012 - Seed,2012,Seed,https://drive.google.com/file/d/15VNFj3f0P0CpxmVucvz_JjzWgZdkL1v9/view
Cyclica,Cyclica - 2020 - Series B,2020,Series B,https://drive.google.com/file/d/1h9Z5mAD5qFAPsgMC76O9nqp18LaeJ576/view
Dakwak,Dakwak - 2013 - Seed,2013,Seed,https://drive.google.com/file/d/1v5PCnA9s5P4ycJ0TB6We_ddXigHg0edL/view
Dandelion Energy,Dandelion Energy - 2022 - Series B,2022,Series B,https://drive.google.com/file/d/1RzH_L2PCggwMrcphW0Dmvnfggb7yWkb6/view
Databook,Databook - 2020 - Seed,2020,Seed,https://drive.google.com/file/d/1ZCn5-3yYqgro5rcNAVAGHKQVGx6u4lt6/view
Databricks Series A,Databricks Series A - 2013 - Series A,2013,Series A,https://drive.google.com/file/d/12oYY69DGAVlYCtMMEQeGVoxUHRCSbXVl/view
